ulasan bersih,sentimen
seta update skrg tidak bisa buka mbanking nelfon meeting sangat tidak wort updatenya skrg,negatif
tidak bisa akses tolong gimana cek saldo tidak bisa,negatif
baik,positif
update jd susah buka aplikasiloadingnya,netral
aplikasi livin mandiri sangat bantu perlu perban seharihari desain modern userfriendly navigasi mudah paham guna baru,netral
baik,positif
buka aplikasi susah transfer kecewa berat tahunih salah mana paksa senin kantor bank cari tshu,negatif
tidak bisa login,negatif
konek rekening dngn app gmn,netral
perijinan,netral
kendala harus kantor cabang,netral
sangat mudah,netral
aplikasi tolol,netral
ngk bisa buka aih,netral
pakai livin mudah kece saldo masuk bansosnyatambah okk sukses ajaa,netral
bagus,positif
baru pakai,netral
otp menit kali otp masuk sms kode otp pas klik kali tidak bisa tunggu menit pemberitahuan tunggu menitsms otp baru masuk,negatif
mantap,positif
hp ku redmi tidak bisa install,negatif
sangat bagus,positif
mantul,positif
ubah password ulang otp sulit masuk sms pulsa,netral
suka tidak bisa buka,netral
ribet semenjak muncul jaga aman akun bete,netral
aplikasi tai,netral
sy download tidak bisa buka livinnya mhn bantu,negatif
mantap,positif
eror loading masuk koneksi kenceng buka mbanking bisa done,netral
lupa pasword atm debit email tidak blzsaya udah isi saldo sesuai tunjuk youtube tidak email kartu debit,netral
guna livin lebih suka tampil menu baru tombol menu ukur telfon tidak bisa buka saran tolong intip saldo bisa akses gabisa transaksi,netral
aplikasi sangat tidak recommended,positif
aplikasi livin masalah tidak bisa,negatif
salah pasword gmn ganti pw baru kartu tdak krn buat online,netral
tidak bisa login update,negatif
tidak beres cepat tidak bisa login,netral
udah kaya bca fitur kontrol transaksi kartu kredit biar tidak mudah bobolsayang,netral
bank buruk pin udah bisa salah masuk tidak bisa,negatif
ganggu aplikasi livin mandiri,netral
oke,netral
apps ganggu kelas bumn pagi sampe sore ganggu kacau sih tempet kerja males banget urus,netral
kena mental gw garagara aplikasi gadungan gblk tidak bisa login udah fotoin ektp tetep garagara si gblk nyaranin aplikasi ketek tidak bri langsung bisa login tidak belibet kyk udah login bri tetep nol udah angus bsu kecewa anjirr garagara aplikasi tidak becus layan masyarakat,negatif
logging made complicated go office log livin application,netral
aplikasi tidak bisa buka update ndak bisa buka kerja hambat tolong baik aplikasi,netral
tidak guna rek mandiri tidak bisa cek saldo aplikasi digit rek digit coba cek bsu kasih buku tabung sajahh,negatif
gbsa login mala disuru ganti pasword pake nomer kartu pdhal bikin kartu baru livin aplikasi online nyaa gmn,netral
livin susah buka,netral
ganggu,netral
oke,netral
terimakasih aplikasi sangat bantu,netral
tap pay tidak bisa bisa bintang,negatif
daftar masuk sulit bank dlu,netral
aplikasi tidak pdhl jaring bagus tidak bisa buka,netral
baru buka online kartu debit lupa pasword buka kartu debit kartu debit,netral
upgrade aplikasi loding aplikasi min,netral
aplikasi tidak bisa buka mohon jelas,negatif
bagus mantap,positif
ribet daftar,netral
assalamualaikum admin kemarin habis baru livin bangat iklan tidak masuk hp hapus aplikasi tidak aplikasi livin tidak bisa buka coba hapus download ulang tidak bisa mohon solusi admin terimakasih,negatif
aman terjsmin,netral
sangat kecewa,negatif
buruk,negatif
good,netral
oke,netral
nyesel pake mandiribiaya operasional mahalniminal saldo tidak jls berapatransaksi gagal ttp hrs bayar,negatif
pas pasword baru tidak bisa masuk,negatif
izin rekening livin lupa akun email tlp ngak aktifapa bisa akun lifin mitabatuan teman teman kontak orang bank mandiri,netral
bagus oke,positif
aneh regist buku tabung mobile banking aplikasi hp type poco x pro tidak dukung,netral
bermanfaatt,netral
upgrade tampil lebih jelek lebih lot bagus grade aneh ni livin,netral
aplikasi livinby mandiri kaga bisa akses kenqren maaih bisa,netral
moga bantu,netral
bagus,positif
transfer tidak bisa aplikasi bank anehh,negatif
baru nyoba,netral
kartu tidak bisa terima x masuk tunggu jam,negatif
masukin nomor npwp udah pas tidak bisa,negatif
mantap,positif
aplikasi sangat bagus,positif
bagus,positif
best,netral
mohon pt mandiri buka rekening pakai livin saldo sisa rp rp atm blokir,netral
livin tidak bisa buka upgrade atur ketetutup melulu perintah aman baru ttp tidak bsa buka sistem error gimana ada info beritahukan email tidak tlg baik krn livin sgt perlu gimana ngasih ulas bagus ky aplikasi tidak bsa buka,netral
update susah login,netral
nga bisa masuk tolong baik nga bisa livin,positif
oke,netral
tidak urus gaji uninstal,netral
mantap,positif
guna livin mandiri cukup jarang tidak atas livin mandiri tidak bisa buka ingat hubung livin mandiri coba pikir ganggu jaring coba jam tolong solusi terima kasih,negatif
mantap fitur mudah,positif
sangatsangat bantu mudah inovatif,netral
awat rutin ganggu transaksilapet,netral
maintance,netral
muak bkin emosi sllu pelihara taekk,netral
ribet masuk daftar online livin masuk cari nomor debit kartu atm tidak karna daftar bank mandiri online livin,netral
lebih baik,positif
moga jos gandos,netral
cepat cair,positif
hdeh gabisa buka loading gabisa masuk pdhal sinyal bagus kuota,positif
livin elor transaksi tolong baik,positif
aplikasi livin mandiri sangat bantu mudah transaksi apa,netral
tolong min adain registrasi pakai ktp elekronik identitas duduk negara,netral
tidak bisa jadi acu uang aju ksm rumit,negatif
sangat bantu,netral
layar tutup buka atur tidak perintah gimana tolong pulih,netral
mantap,positif
verifikasi wajah susah suruh mata kedip cahaya kasih lighting mata melotot gagal,negatif
gimana nih lugin livi tidak masuk masuk layan perbsikan munkin nyampet tu baik kocak,positif
sangat bantu utk transaksi,netral
pas kartu blokir bisa buka verifikasi pas kartu udah buka blokir ganggu,netral
lelet susah buka,netral
tidak bisa log gimana bu transfer emergency,negatif
dapat,netral
aman,netral
lupa password nomor atm expayed mohon bantu,netral
aplikasi livin tidak bisa,negatif
update coba tidak gonta ganti posisi fitur nambah bingung nambah fitur tambah tidak pindah pindah,netral
g bs transaksislalu hub capek,netral
mantap,positif
slalu close verif wajah,netral
daftar online alamat daftar domisili negeri pulang kampung kartu fisik bisa kirim alamat kampung daftar alamat negeri tolong bantu mandiri,netral
semenjak baru aplikasi livin susah banget utk login loading kuota jujur jd repot karna gabisa satset paymen via livin,netral
apa si living maksa banget kelola akses telpon dg alas aman privasi donk tuju tidak maksa,netral
mantap sangat bantu,positif
os udah update tidak otak atik sistem tetep sistem operasi tidak dukung,netral
aplikasi lupot,netral
layan susah call center tidak bisa hubung cukup bikin kesal karna udah pulsa,negatif
tidak bisa login kali salah pencet sandi coba copot pasang aplikasi tidak login niat mudah sulit mandiri,negatif
aplikasi ribet,netral
kasih bintang login verif wajah kali gagalmembagokkan aplikasi login bisa masuk tambah bintang,negatif
oke,netral
livin mandiri bagus transfer bank cepat,positif
masak gara gara sms tlat sdikit tidak login payah jlas wjah sya data login nggk bisa,netral
sangat bantu transaksi bank,netral
ksm mandiri baharu tanggal,netral
bisa buka akun bisa akses mohon solusi min,netral
kak isi saldo langsung login masuk cetak kartu atm nyamohon solusi kak admin,netral
mudah cepat,positif
aplikasi baguss,netral
bagus,positif
udah enak pake mandiri sayang tidak bisa kartu kredit paylater pinjam guna pilih kartu kredit paylater pinjam,negatif
skn apa transfer tunggu baik sistem skn biar langsung kirim tunggu,positif
aplikasi sampah tidak guna,negatif
bisa buka rek baru email nonor tam buka lupa semuany id passwrd masuk,netral
ngapa livinku gx bisa login hp samsung,netral
bagus,positif
udah pakai livin eror si bangking livin tidak bisa buka buka urgent banget transfer jd susah,negatif
tampil beda,netral
mudah cepat,positif
selamat sore kartu fisik debit uda kirim rumah mohon bantu terimaksih,netral
aplikasi jelek tb sndiri gabisa login baru klaim bonusuangnya masuk gabisa buka apknyamana tidak kartu asli nyesal bet daftar banking mandiri,negatif
kesini susah masuk livin perangkat android tidak dukung update,netral
tidak bisa masukblngnyasedang diperbaikicoba lagini hrisruh ngirim emailblm tanggapanni gmn penyelesaiannyalivin ni aq pkai bwt transaksiwajg tidak balas,negatif
baik,positif
ganggu mandiri,netral
apa livin kena rpt cabang tidak solusi email tidak respon tabung livin tidak bisa buka,negatif
tidak bisa masuk,negatif
tidak bisa login layan tidak sedia hr loh urgent,negatif
mantul,positif
mohon login ulang aplikasi hapus gausah pakek nomer kartu pakek gmail biar lebih mudah dapet kartu trimakasih,netral
susah cari informasi baik pt informasi tidak email tidak wa nasabah tukang tipu,positif
tidak prnh gunain blokir,netral
tibatiba mbanking tidak akses hubung call center ribetnya mintak ampun akun aman kena rpt tolong kembali akun mbanking transaksi ngak bisa,netral
livin tidak bisa akses tidak angkat telpon,negatif
parah livinmasa iya login proses lanjut udah dateng cabang mandiri dekat udah ngirim email,negatif
transaksi mudah sangat bantu,netral
aplikasi ribet udah masukin nik sesuai salah tolong baik,positif
aplikasi update clear cacheinstall ulang tidak bisa buka bug coba kali kalitolong diperbaikiterima kasih,negatif
,netral
perbaikisaya kartu atm buat kerjasama pabrikpas masuk akun aplikasi livin sesi masuk pin salah pasu pintolong bantu,netral
hallo bank mandiri knapa aplikasi tidak bisa hp redmi c hp td support jd suruh cb perangkat hp dak jadul banget,negatif
buka rekening baru susah banget verifikasi muka sampe gel mata kedip kedip gimana livin,netral
mudah fleksibel mana baik terimakasih livin mandiri,positif
banking tidak bs buka tidak salah pin dll,netral
udah isi saldo kartu debit tidak kirim uang timbun rekening tidak bisa loginin tidak ad respon orang mandiri,negatif
tidak bisa livin sy ni,negatif
mantap,positif
bagus,positif
masuk mbanking ae susah et dah verifikasi wajah ampe kli lusin nda konfir sue banget dah,netral
saldo rb pake top dana gabisa pake top kuota gabisa,positif
tidak notifikasi uang masuk email tidak,netral
kali update rekening tidak muncul sangat respon baik call center call center bayar sangat mahal,positif
oke,netral
aplikasi bank sangat bingung baru daftar buka rekening tidak bisa login aplikasi bolak kantor cabang tidak solusi buka aplikasi nelfon call center tidak solusi apa telfon putus saran lebih baik pakai mandiri,netral
mantap,positif
lupa password bikin password baru kartu kartu nyampe ngehubungin cs gada tanggap nelpon gabisa pulsa layan tidak muas banget nyesel buka rekening gabisa bantu nasabah sulit,netral
tida bisa buka mbanking telepon,netral
pas saldo tidak bisa buka,negatif
mantab mandiri,netral
ni livin dah semenjak updet kena rpt bisa bantu tidak livin,netral
aplikasi livin pin blokir kali transaksi gimana sih,netral
sangat sempurna aplikasi sempurna sangat mudah guna akses produk tarik,netral
tolong bikin fitur kayak bcamau adu cs bisa telpon video call pake basis internetga susah gin telpon pake pulsasekali nelepon sedot pulsa gedee,netral
login susah udah pw udah pin udah verifikasi wajah pw gitu,netral
top,positif
aplikasi koq muncul atur masukin password tidak bisa halang notif atur,negatif
layan call mandiri tidak responsifsebagai salah bank bumn besar sangat kecewa,negatif
oke,netral
oke,netral
gaji tidak masuk,netral
bagus,positif
kasih bintang aplikasi livin bantu kurang loggin sendirinyebelinberapa ganti pin sesuai ribet,netral
tidak bisa login,negatif
sampah aplnya,negatif
tidak bisa login pake unsername pw suruh pake kartu kartu,negatif
slow respon bayar tunda saldo potong email slow respon via telpon susah angkat,netral
keren,netral
oke,netral
sangat puas,positif
callcenter mandiri ancur banget layan,netral
mantap,positif
saldo tahan tidak telat bayar pinjam tahan pas potong pinjam gimana atas,netral
bagus,positif
jam gin bisa transaksi livin offlinenya,netral
parah si transaksi pake livin baik urgent transaksi,netral
kurang durasi maintenance banget,netral
aplikasi bagus syg offline pd darurat tunggu dlhadeehh,positif
banyak maintenance orang tengah malem susah,netral
malam baik tidak bisa bayar qris baik malam,netral
stiap mlm ganggu stiap hri ganggu cuma livin tidak bisa dgunakan klau mlm bruk aplikasi,negatif
payah malem maintenance,netral
aplikasi busuk nyesel parah,negatif
baik jam malam pagi sdah tidak bisa laku transfer,netral
klalo malam transaksi susah parah nunggu pagi baru bisa sistem eror,negatif
layan sangat mengecewakanterutama jam _ atassering gagal transaksi males pakai livin,negatif
ganggu bayar susah,netral
ganggu terus jam mlm,netral
cukup,netral
mantap,positif
aplikasiny bintang mudah simple muterkecepata okhampir fitur okpembelian pulsa okpembelian paket data mahal tolong adain standar gb indonesia entr tabung hbs datatoken listrik harga mahal tidak lumrah jd tolong bikin nasabah nyaman betah biar kebutuan hari selesai aplikasi inisatu tolong potong apa cantum mutasi,netral
bug,netral
sangat kecewa tidak bisa daftar kartu atm,negatif
top lancar makasih,positif
tidak bisa transfer alas saldo tidak cukup pas tidak bisa maksud gimanaa,negatif
susah pake poin toup dna sellu suruk cek nomor udaha pajak gede ngak kasih kyaman nasbah tolong timbang yga supa lebih enak transaksi,netral
g bisa login nomor kartu salah trss kt,netral
verifikasi wajah susah banget suek suek,netral
mintak izin daftar telpon nomor data sandi simpan kontak sedot sever tidak nyaman simpan password user kontak lanjut,netral
maaf tidak bisa buka karna logo buka atur gimana biar bisa buka,negatif
terima kasih mandiri,netral
aplikasi sangat bantu moga lancar amanah,positif
log muncul tulis layan tidak sedia tolong solusi,netral
tidak bisa login livin uninstall installkmbali tidak bisa,negatif
bisa hubung maksud gimana minggu tidak bisa buka aplikasi,negatif
cepat san akurat,positif
livin sy tidak bs masuk,netral
login krtu fisik kirim,netral
aplikasi livin bisa akses,netral
,netral
bagus cun,positif
dg livin mandiri mudah transaksi,netral
problem smakya laingabisa log lyar tutup notifikasi izin akses tlfonmaksa banget gajelas,netral
bayar qr bayar tidak hasil saldo potong ubung qr gaada bayar rekening tolong bantu iya saldo rekening potong gitu bayar tidak hasil,netral
,netral
ribet pake sidik jari tidak password buka aplikasi apply kartu fisik notif kartu proses apply kartu apa gitu pas transfer masuk tidak notifikasi,netral
tidak bisa login tutup pengaturanyg tidak,negatif
nahan uang orang jatuh tempo,netral
livin error kah juni,negatif
kak nomor telvon hangus gimana login livin,netral
livin mandarin enak pas transfer erorr rpt,netral
minggu coba login tidak bisa alas layan tidak sedia minggu,negatif
good aplikasi maju mandiri depan,netral
susah login guna baru kartu fisik,netral
error tidak bisa buka,negatif
bad,netral
tidak nyaman bayang tidak bisa login akses tolak login ulang masukin nomor kartu tolak kantor cabang benerin banking tolak dah gitu bank tidak ngeluarin buku tabung rekening ktp hp app malware kirim email tidak balas tlp tidak menu login livin aplikasi layak transaksi onlinemembuat tidak nyaman customer,negatif
saldo teblokir,netral
aplikasi bisaa g great saldo karna kali top great saldo ribett coba dl dah,positif
livin mandiri tidak kartu atm warna silver,netral
tidak bisa login,negatif
layan transfer bagus cepat,positif
paham masuk login,netral
loadingnya aplikasi perban lot sy temu coba admin livin buka brimo bni bank digital rasa baru buka aplikasi login sberpa peebedaanya,netral
bagus,positif
pas log ulang bikin password proses ulang proses bikin password,netral
sangat proses buat rekening baru selesai administrasi nyaa,netral
mbl bangkinh sya tidak bs buka tolong bantu,netral
sangat bantu transaksi,netral
aplikasi tidak buka knapa yah muncul akun tidak akses,netral
kasih masuk livin layar dg tulis lindung transaksi ckup ganggu,netral
sangat bantu transaksi,netral
mandiri aneh ajatadi siang cetak kartu karna tel atm tidak bisa alesanya ktp updatehadeh buku tabunganada ktp syarat yasedangkan uang rekening perlu sehariintinya sulit nasabahapa nasabah orang merantaumau urus susah,negatif
tidak bisa login suruh bikin akun baru,negatif
mandiri care top bangett huhu terimakasih bantu huhu kartu atm aktif bank langsung,positif
udah gabisa buka livin transaksi susah pending gabisa transaksi gara aplikasi gabisa buka buang bank himbara,netral
ngedap uang besar bikin kesel jelek transaksi kena biaya payah,negatif
aplikasi rusak parah mentenaince,negatif
mantab sangat bagus muas,positif
livin aneh banget atm ku blokir tidak transaksi aneh aneh mohon baik sistem,positif
oke,netral
knpa diupdte baru living mandiri cek mbangking mkin buka tidak mohon baik kak,positif
good,netral
god,netral
alami stuck loading screen teruspadahal izin akses telepon izin tidak bisa login alami fore close terusmenerus tolong baik per guna nyaman,netral
aplikasi ngk bisa login aduh,netral
buka livinmau masuk lot uninstal aplikasi pasang pas masuk eh keblokirpadahal kemarin bisa buka enggasaya banget gin x udah cape bulak bank mulu benerin atm,netral
livin susah login knpaa,netral
tidak bisa masuktulisannya hasil hubung dri kmrinnya,negatif
aplikasi nii orang tidak buka tekan asyik buka mcm orang tolong yaa bank mandiri tingkatkn quality tidak suka yaa asyik buka livin mandiri kirimemail tidak bisa,netral
mantul,positif
aplikasi livinnya hapus download qo tidak bisa masuk yah gimna,negatif
aplikasi jelek sangat berat hp ram gb butuh trnsaksi cepat buka aplikasi kadg pas trnsaksi mandiri bank muka tolong pakai desiner aplikasi bagus,positif
tolong banget support hp devicenya hyperos,netral
kode rpt sulit nasabah,netral
banyak upgrade,netral
bagus sayang bi fastnya tidak bisa,netral
jd atur aneh aneh tidak bisa log drtd krn tulis atur tlp,negatif
livin eror eror email sya ngk bls trkait mas sy alami,netral
aplikasi tidak bsa buka katae q blok tidak bsa buka admin gmn nch,netral
bagus,positif
tabung simakmur guna dapet bsu masuk rekening simakmur gabisa transfer bikin repot,netral
berkalikali registrasi livin data step step kali selfi tidak bisa aplikasi tutup sendiritolong gmna solusinyaa,negatif
mantap,positif
living yah aplikasi living tidak bisa buka klik login langsung layar,negatif
moga hasil login tidak,netral
suka eror foto tidak bisa focus kamera aplikasi kode sms tidak terkirm,netral
bagus,positif
aplikasi ampas login susah,netral
oke,netral
eror pin blokir ngurus sangat ribet kantor cabang sangat antri aplikasi digital tidak praktis,netral
knpa kemaren livin tida bisa mkasih,netral
mudah livin,netral
utk kirim kartu sangat,netral
bad,netral
orang bayar makan kasir error si bego,negatif
update tidak tampil cek saldo,netral
update tidak bisa login livin tidak tanggap,negatif
aplikasi livin mantapp,netral
super apps,netral
sangat manfaat,netral
sangat puas aplikasi livin mandiri sukses,positif
trimakasih mandiri,netral
tidak masuk login karana halang atur tidak,netral
update tidak bisa login sekaliparah mudah banget,negatif
aplikasi bagus mudahwaktu kali instal normal pas digunakankok pas bayarapk pas buka force close truspadahal udah update jaring normalsaya udah sempet instal ulang force closerating,positif
salah dosa livin mandiriknp aplikasi android tibatiba terblokirseminggu bisa terpakaipadahal tfkan keluarga sangat tibatiba info diapk bilang blokir banget mn layan kayak tidak proporsional males pk livin krn suruh cabang tidak krn kota,netral
cs bank mandiri sangat buruk kecewa keluh chat wa hubung agent nunggunya banget bisa jam pas hubung agent sempet bales baru menit agent hilang nunggu ber jam telvon layan bank mandiri terhubungnta bot orang suruh ketik digit kartu ambil kartu pas ketemu telvon mati *anda kesalahan* pas telvon tidak hubung sangat kecewa,negatif
aplikasi livin tidak bisa buka,negatif
lelet banget hubung customer service wa balas bot email ngak respon,netral
trimakasi bank mandiri,netral
layan sangat baik ramah,positif
baguss,netral
notifikasi jaga aman bkin ribet jelek asli parah bgtt hambat aktivitas,negatif
keluh susah tanggap livin transaksi tidak tau tau pasword tidak klik curiga kartu debit livin tidak gimana tanggung mandiri akan tutup telinga buta keluh uang tahu udah cabang gin,netral
terimakasih livin mandiri mudah ber interaksi uang sangat bantu nasabahmaju sukses,netral
tidak bisa login perintah tidak kontak hubung apknya,negatif
kartu selesai cetak tgl smpai skg blum dpt kartu msih tunggu jemput kurir,netral
tidak bisa login,negatif
sangat bagus,positif
kasih bintang transfer tidak bisa mandiri coba transfer rekening tidak bisa saldo mohon baik qris bisa tari kartu,netral
moga bisa rekan butuh,netral
livin tidak bisa dibukaada tulis livin tidak akses telepon,negatif
ribet bangett pake livin mandiri bikin ribet orang,netral
tolong livin transfer rek transper simpen kaya transfer kali ketik ulang rek coba balikin kaya mandiri mobile biasa malem transaksi tidak bisa,negatif
sangat baik,positif
top gagal saldo tetep potong aneh bank transaksi gagal saldo kembali,netral
kalah aplikasi dana banget ganggu trx gagal mulu,negatif
akun log coba masuk tidak bisa nyesel pake livin aplikasi sial,negatif
bagus,positif
baru unistal aplikasi download masuk verifikasi livin baca aplikasi baik bulan lebih tidak bisa masuk livin tolong baik,netral
livin bapuk tidak kaya bank lainjam wib transaksi tidak bisa pemeliharaanokelah sy pahamisy transaksi jam pelihara ampun dehdan sy amat haripadahal aplikasi bank milik swasta tidak spt pelihara dlm hariini kali sangat sebal genting transfer tidak bisa,negatif
update ganggu jam jam gabisa transaksi,netral
maintenance ganggu,netral
sih banget top ewallet eror nomer,positif
aplikasi tidak bisa login,negatif
mantapp aplikasi,netral
tibatiba tidak bisa log aplikasi,negatif
verifikasi selfie time cahaya oke data wifi gagal kedip klw gagal dlm proses kedip,negatif
tidak bisa masuk mentok login knapa bisa,negatif
min atm mandiri ku tidak aktif apa bisa aktif,netral
suka aneh toup dana suka gagal salah nominal lebih batastapi org lancar kendala,positif
sangat baik,positif
gimana nih minta kartu fisik kirim jemput jemput kurir gimana nih butuh banget lagi,netral
mata gel verifikasi kedip gagal,negatif
livin mandiri sangat bagus mudah macem,positif
jelek banget sih sistem saldo minimum nggak hitung sesuai batas saldo minimum transaksi ribu bisa ribu batas minimum transaksi susah bayar biaya kuliah mandiri tolong sih batas minimum sayang uang ngedep nggak bisa kepake,negatif
hallo selamat malam mandiri tidak bisa tranfer kadang suka gagal,negatif
livin tidak bisa buka hp infinix hot pdhl hp baru,negatif
sangat bantu transaksi,netral
kendala karyu fisik kirim suruh login aplikasi pakai nomor kartu gimanacoba gilir chat via email tidak tanggap,netral
sangat bantu,netral
mantap cepat proses,positif
tidak bisa login livin,negatif
cs bapuk,netral
sengaja kasih bintang biar kebacapkibu livin susah sekaliknpa slalu ganggu aplikasinyamohon bantu,netral
sangat suka aplikasi,positif
livin ijin sambung akses telp msk privasi customer yaa nihh,netral
oke,netral
gagal instal android,negatif
livin ber,netral
bisa aju pinjam uang langsung aplikasi livin mandiri nasabah setia bank mandiri,netral
tidak tau bilang bagus dah,positif
parah nelpon call center menit suruh nunggu tidak direspon habis pulsa,negatif
login livin mandiri muncul atur login,netral
udah kali daftar livin tidak bisa akses,negatif
mobile banking tidak tidak ad angin tidak ad ujan akses tidak bisa buka kelas bumn aplikasi cacat,negatif
tidak bisa masuk pelihara,negatif
tidak bisa buka gmn nih,negatif
qr transfer kirim rek tidak bisa aneh banget,negatif
oke,netral
gabisa buka banking tidak izin utk livin akses kontak aplikasi bank butuh akses kontak,netral
oi update tidak bisa buka aplikasi livin parah nih aktif fungsi telp setting notif tidak bisa sangat sulit error server info dunk email customer,negatif
susah masuk log aplikasi tolong balek atur lebih baik sulit masuk inimasalah kali,positif
lupa pasword gmn minta msukan nomor kartu,netral
aplikasi tidak buka,netral
okee abis update,netral
baik,positif
mantap,positif
tolong login mudah rek tidak kartu debit tidak nasabah kartu termsk buka daftar jd repot,netral
cukup baik,positif
bintang baru nyoba,netral
atas rpt,netral
login costumer tidak gubris ampun,netral
baik,positif
sulit akses daftar sinyal lancar gagal akses kode otp kendala baru sistem,netral
minggu lebih livin tidak bisa buka nelpon buka livin niat transfer keluarga livin gagal buka muncul terang rpt hubung validasi kait hp digit atm info costumer service udah minggu tidak bisa gaji udah hapus aplikasi,negatif
,netral
bagus,positif
rekening koran tidak,netral
knapa aplikasi tidak bsa buka hp redmi pdahal akun,netral
bank tidak jelastiba kartu blokir tidak bisa narik gajianpadahal tertib bayar nyagini susu anak habis ambil bos atm blokir tidak bisa tarikalasan ksmkan gaji blokir tetep tidak buka,negatif
staff customernya batas gimana yakdh abis pulsa rebu nungguin,netral
buruk,negatif
kirim kartu atm area bogor kota,netral
aplikasi tidak dukung,netral
halo mandiri buka aplikasi livin dimintain update pasword sangat sayang,netral
lebih mudah praktis,netral
ngurus banking udah bulan tidak bisa baru tdi jam k bank jam bisa langsung dpake bankingnya eh trnyata tetep tidak bisa masuk tulis layan tidak sedia tingkat layan bulan layan tidak sedia jarak rumah bank banget kecewa layan bank mandiri transfer ribet atm jarak rumah gara gara banking tidak bisa urus,negatif
bagus,positif
nomor rekening kasi huruftapi pas login huruf gimana cerita saldo isi,netral
faswed tidak bisa masuk gimana min suru bikin faswed baru baru bikin hari udah suru ganti faswed suru menghubingi tidak susah amit baru bikin pas buka suru ganti paswed paswed udah suru ganti faswed kartu kirim,negatif
kak nggak tulis login,netral
tidak bisa buka gaji suruh ganti pasword udah ganti verifikasi eror aneh emng apl,negatif
livin tidak bisa transaksi apa,negatif
livin eror h tidak bisa transaksi,negatif
aplikasi tidak bisa buka,negatif
notif suru baru stiap login sangat lot ganggu lebih bagus dlu cepat tidak ganggu,positif
aplikasi tidak bisa buka uninstall parahkacau,negatif
keren,netral
bagus,positif
ter baik,positif
livin atm terblokirpadahal tidak atm kosongtrus transaksi terblokirchat tidak jawabnelpon bilang staff sibuk mati ngabisin pulsadatang kantor mandiri jam tidak diterimadisuruh besok pagi alas bnyak kerjapadahl ngurus atm terblokirgimana,netral
sangat bantu,netral
aplikasi tidak telfon call center tidak respon respon pulsa boncos,netral
aplikasi tolol,netral
bagus sangat mantu,positif
ni apklemot kayak bakicotstuck loding screen dri tdiparah,negatif
mantap,positif
tidak bisa topup dana,negatif
gilir verifikasi wajah gagal daftar,negatif
sih baru buka rekening akun tidak akses masuk beranda,netral
transaksi tidak bisa proses,negatif
akun dapet akses gilir dah email wa tetep gaada respon bank responya gajelas inpo ngertisoalnya bank tidak ngerti udah ngirim email gaada kerja akun gitu aneh massa sampe akun blum dapet akses,netral
moga manfaat,netral
diperbaruisaya tidak masuk apkterkendala identifikasi tanggal lahirpadahal pasu tanggal lahir,netral
livin unistal yaapakah ubah livin,netral
kartu debit sy blok bank riwayat tagih pinjam saldo debet bayar saldo dpt transfer saldo isi saldo takut saldo mohon jelas krn sy sdg negeri tidak bisa transaksi,negatif
lot,netral
tidak daftar mohon hapus data pribadi,netral
